Row Type,Action,Status,Campaign,Campaign Budget,Campaign Type,Bid Strategy Type,Network (Search Partners),Network (Display Network),Ad Group,Max CPC,Keyword,Match Type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Description 1,Description 2,Path 1,Path 2,Callout text,Structured snippet header,Structured snippet values
Ad Group,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Mosquito Control Near Me,3.50,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Mosquito Control Near Me,,mosquito control near me,Phrase,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Mosquito Control Near Me,,mosquito control service near me,Phrase,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Mosquito Control Near Me,,local mosquito control,Broad,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Mosquito Control Near Me,,outdoor mosquito control,Phrase,,,,,,,,,,,,,,
Responsive search ad,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Mosquito Control Near Me,,,,https://www.greenguard-usa.com/book,Mosquito Control Near You,Serving Greater Austin TX,Book a Free Assessment,CO2 Traps - No Chemicals,Cedar Park Round Rock Westlake,Monthly Service Included,"GreenGuard serves Austin, Cedar Park, Round Rock, Westlake Hills and 10 more cities.","Trap rental from $79/mo. We handle installation, CO2 refills, and monthly service.",near,me,,,
Ad Group,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Suburb Targeting,3.00,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Suburb Targeting,,mosquito control cedar park,Phrase,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Suburb Targeting,,mosquito control round rock,Phrase,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Suburb Targeting,,mosquito control westlake hills,Phrase,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Suburb Targeting,,mosquito control lakeway tx,Phrase,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Suburb Targeting,,mosquito control bee cave,Phrase,,,,,,,,,,,,,,
Responsive search ad,Add,Enabled,GreenGuard — Local Service Austin,,,,,,Suburb Targeting,,,,https://www.greenguard-usa.com/book,Mosquito Control {KeyWord:Your City},CO2 Traps - No Sprays,Free Assessment This Week,Serving All Austin Suburbs,Pesticide-Free Service,Cancel Anytime - No Contracts,"Serving Cedar Park, Round Rock, Westlake, Lakeway, Bee Cave and surrounding suburbs.",Pesticide-free. No contracts. Monthly service included. Book your free walkthrough.,austin,area,,,
Campaign,Add,Paused,GreenGuard — Products Equipment,10.00,Search,Maximize Clicks,true,false,,,,,,,,,,,,,,,,,,
Ad Group,Add,Enabled,GreenGuard — Products Equipment,,,,,,CO2 Trap Products,3.00,,,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Products Equipment,,,,,,CO2 Trap Products,,biogents mosquitaire,Phrase,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Products Equipment,,,,,,CO2 Trap Products,,biogents trap,Phrase,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Products Equipment,,,,,,CO2 Trap Products,,co2 mosquito trap,Phrase,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Products Equipment,,,,,,CO2 Trap Products,,buy mosquito trap,Phrase,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Products Equipment,,,,,,CO2 Trap Products,,mosquito trap rental austin,Phrase,,,,,,,,,,,,,,
Keyword,Add,Enabled,GreenGuard — Products Equipment,,,,,,CO2 Trap Products,,biogents bg mosquitaire,Exact,,,,,,,,,,,,,,
Responsive search ad,Add,Enabled,GreenGuard — Products Equipment,,,,,,CO2 Trap Products,,,,https://www.greenguard-usa.com/shop,Biogents CO2 Mosquito Traps,Buy or Rent in Austin TX,Professional Grade Traps,BG-Mosquitaire Available Now,Free Shipping on Orders $99+,CO2 Refills Included in Service,Shop Biogents BG-Mosquitaire traps. Best CO2 trap for residential use.,Trap rental with monthly service also available. CO2 refills included.,shop,traps,,,
Callout,Add,Enabled,GreenGuard — Brand,,,,,,,,,,,,,,,,,,,,,Pesticide-Free,,
Callout,Add,Enabled,GreenGuard — Brand,,,,,,,,,,,,,,,,,,,,,Free Assessment,,
Callout,Add,Enabled,GreenGuard — Brand,,,,,,,,,,,,,,,,,,,,,No Contracts,,
Callout,Add,Enabled,GreenGuard — Brand,,,,,,,,,,,,,,,,,,,,,Monthly Service Included,,
Callout,Add,Enabled,GreenGuard — Brand,,,,,,,,,,,,,,,,,,,,,Austin-Owned,,
Callout,Add,Enabled,GreenGuard — Brand,,,,,,,,,,,,,,,,,,,,,CO2 Technology,,
Callout,Add,Enabled,GreenGuard — Brand,,,,,,,,,,,,,,,,,,,,,Same Technician Every Visit,,
Callout,Add,Enabled,GreenGuard — Brand,,,,,,,,,,,,,,,,,,,,,Results in 30 Days,,
Callout,Add,Enabled,GreenGuard — Local Service Austin,,,,,,,,,,,,,,,,,,,,,Pesticide-Free,,
Callout,Add,Enabled,GreenGuard — Local Service Austin,,,,,,,,,,,,,,,,,,,,,Free Assessment,,
Callout,Add,Enabled,GreenGuard — Local Service Austin,,,,,,,,,,,,,,,,,,,,,No Contracts,,
Callout,Add,Enabled,GreenGuard — Local Service Austin,,,,,,,,,,,,,,,,,,,,,Monthly Service Included,,
Callout,Add,Enabled,GreenGuard — Local Service Austin,,,,,,,,,,,,,,,,,,,,,Austin-Owned,,
Callout,Add,Enabled,GreenGuard — Local Service Austin,,,,,,,,,,,,,,,,,,,,,CO2 Technology,,
Callout,Add,Enabled,GreenGuard — Local Service Austin,,,,,,,,,,,,,,,,,,,,,Same Technician Every Visit,,
Callout,Add,Enabled,GreenGuard — Local Service Austin,,,,,,,,,,,,,,,,,,,,,Results in 30 Days,,
Callout,Add,Enabled,GreenGuard — Products Equipment,,,,,,,,,,,,,,,,,,,,,Pesticide-Free,,
Callout,Add,Enabled,GreenGuard — Products Equipment,,,,,,,,,,,,,,,,,,,,,Free Assessment,,
Callout,Add,Enabled,GreenGuard — Products Equipment,,,,,,,,,,,,,,,,,,,,,No Contracts,,
Callout,Add,Enabled,GreenGuard — Products Equipment,,,,,,,,,,,,,,,,,,,,,Monthly Service Included,,
Callout,Add,Enabled,GreenGuard — Products Equipment,,,,,,,,,,,,,,,,,,,,,Austin-Owned,,
Callout,Add,Enabled,GreenGuard — Products Equipment,,,,,,,,,,,,,,,,,,,,,CO2 Technology,,
Callout,Add,Enabled,GreenGuard — Products Equipment,,,,,,,,,,,,,,,,,,,,,Same Technician Every Visit,,
Callout,Add,Enabled,GreenGuard — Products Equipment,,,,,,,,,,,,,,,,,,,,,Results in 30 Days,,
Structured snippet,Add,Enabled,GreenGuard — Brand,,,,,,,,,,,,,,,,,,,,,,Services,Trap Rental;CO2 Delivery;Free Assessment;Monthly Maintenance;Tank Exchange
Structured snippet,Add,Enabled,GreenGuard — Local Service Austin,,,,,,,,,,,,,,,,,,,,,,Services,Trap Rental;CO2 Delivery;Free Assessment;Monthly Maintenance;Tank Exchange
Structured snippet,Add,Enabled,GreenGuard — Products Equipment,,,,,,,,,,,,,,,,,,,,,,Services,Trap Rental;CO2 Delivery;Free Assessment;Monthly Maintenance;Tank Exchange
